account_bal,duration,payment_status,credit_amount,savings_bond_value,employed_since,intallment_rate,residence_since,age,number_of_existcr,job,number_of_dependents,target
1,9,2,918,0,2,4,1,30,1,2,1,0
1,12,0,1995,1,1,4,1,27,1,2,1,1
3,6,2,1338,2,2,1,4,62,1,2,1,1
2,24,2,2892,0,4,3,4,51,1,2,1,1
3,24,2,5433,4,0,2,4,26,1,3,1,1
0,6,0,609,0,3,4,3,37,2,2,1,1
1,12,0,3124,0,1,1,3,49,2,1,2,1
3,30,3,7485,4,0,4,1,53,1,3,1,0
1,12,2,685,0,3,2,3,25,1,1,1,0
0,10,0,2132,4,1,2,3,27,2,2,1,1
1,18,0,884,0,4,4,4,36,1,2,2,0
0,36,2,3620,0,2,1,2,37,1,2,2,1
3,12,0,2012,4,3,4,2,61,1,2,1,1
1,18,2,5866,1,2,2,2,30,2,2,1,1
1,12,2,2002,0,3,3,4,30,1,2,2,1
0,12,1,1344,0,2,4,2,43,2,1,2,1
0,12,3,697,0,1,4,2,46,2,2,1,0
0,12,4,6199,0,2,4,2,28,2,2,1,0
0,18,0,1880,0,3,4,1,32,2,3,1,1
1,12,2,1318,3,4,4,4,54,1,2,1,1
0,12,2,2579,0,1,4,1,33,1,1,2,0
1,54,4,15945,0,1,3,4,58,1,2,1,0
3,15,0,1471,0,2,4,4,35,2,2,1,1
0,24,3,6872,0,1,2,1,55,1,2,1,0
3,9,2,3577,1,2,1,2,26,1,2,2,1
2,21,0,2319,0,1,2,1,33,1,2,1,0
1,9,2,3195,4,2,1,2,33,1,1,1,1
1,24,2,2718,0,2,3,4,20,1,1,1,0
0,20,0,2235,0,2,4,2,33,2,2,1,0
3,24,2,7393,0,2,1,4,43,1,1,2,1
1,12,2,7472,4,0,1,2,24,1,0,1,1
3,6,2,1538,0,1,1,2,56,1,2,1,1
1,48,2,10961,3,3,1,2,27,2,2,1,0
3,6,0,1382,0,2,1,1,28,2,2,1,1
3,15,2,874,4,1,4,1,24,1,2,1,1
0,48,2,6758,0,2,3,2,31,1,2,1,0
3,36,0,7127,0,1,2,4,23,2,2,1,0
1,9,2,276,0,2,4,4,22,1,1,1,1
0,12,3,2149,0,2,4,1,29,1,2,1,0
1,48,2,8487,4,3,1,2,24,1,2,1,1
3,12,2,1736,0,3,3,4,31,1,1,1,1
3,12,2,2141,1,3,3,1,35,1,2,1,1
0,24,2,3123,0,1,4,1,27,1,2,1,0
3,10,2,2210,0,2,2,2,25,1,1,1,0
3,12,2,1413,3,3,3,2,55,1,2,1,1
0,15,0,1478,0,4,4,4,44,2,2,2,1
1,60,3,14782,1,4,3,4,60,2,3,1,0
0,12,2,759,0,3,4,2,26,1,2,1,0
1,12,0,1424,0,3,4,3,26,1,2,1,1
3,24,2,4591,3,2,2,3,54,3,3,1,0
3,24,2,5943,4,1,1,1,44,2,2,1,0
3,12,0,3565,4,1,2,1,37,2,1,2,1
0,9,2,654,0,2,4,3,28,1,1,1,0
3,12,0,1291,0,2,4,2,35,2,2,1,1
1,24,0,4736,0,1,2,4,25,1,1,1,0
3,27,2,2570,0,2,3,3,21,1,2,1,0
3,24,2,1278,0,4,4,1,36,1,3,1,1
3,12,2,1574,0,2,4,2,50,1,2,1,1
0,36,0,8065,0,2,3,2,25,2,3,1,0
3,36,2,3835,4,4,2,4,45,1,1,1,1
3,18,0,3780,0,1,3,2,35,2,3,1,1
1,12,4,2969,0,1,4,3,25,2,2,1,0
0,12,2,684,0,2,4,4,40,1,1,2,0
3,12,0,1402,2,3,3,4,37,1,2,1,1
0,12,0,2171,0,2,4,4,38,2,1,1,1
3,36,1,10875,0,4,2,2,45,2,2,2,1
0,24,0,2957,0,4,4,4,63,2,2,1,1
0,48,2,4788,0,3,4,3,26,1,2,2,1
3,36,0,9566,0,2,2,2,31,2,2,1,1
3,36,1,7678,2,3,2,4,40,2,2,1,1
0,30,2,3108,0,1,2,4,31,1,1,1,0
1,45,2,3031,1,2,4,4,21,1,2,1,0
0,13,0,1797,0,1,3,1,28,2,1,1,1
0,30,4,8072,4,1,2,3,25,3,2,1,1
1,24,2,4351,4,2,1,4,48,1,1,1,1
3,12,0,996,4,3,4,4,23,2,2,1,1
3,18,2,433,0,0,3,4,22,1,2,1,0
3,6,3,783,4,2,1,2,26,1,1,2,1
1,9,2,1549,4,1,4,2,35,1,0,1,1
1,72,2,5595,1,2,2,2,24,1,2,1,0
0,6,2,14896,0,4,1,4,68,1,3,1,0
1,15,2,802,0,4,4,3,37,1,2,2,0
0,14,2,8978,0,4,1,4,45,1,3,1,0
1,60,1,9157,4,2,2,2,27,1,3,1,1
3,12,2,707,0,2,4,2,30,2,2,1,1
1,9,0,1919,0,3,4,3,35,1,2,1,1
3,12,0,2331,4,4,1,4,49,1,2,1,1
1,26,2,7966,0,1,2,3,30,2,2,1,1
3,6,3,1750,2,4,2,4,45,1,1,2,1
3,36,2,1819,0,2,4,4,37,1,2,1,0
1,18,0,1887,4,2,4,4,28,2,2,1,1
1,15,1,1512,3,2,3,3,61,2,2,1,0
3,18,0,1800,0,2,4,2,24,2,2,1,1
3,12,2,3077,0,2,2,4,52,1,2,1,1
0,9,2,1364,0,3,3,4,59,1,2,1,1
0,18,3,1442,0,3,4,4,32,2,1,2,0
0,48,2,7763,0,4,4,4,42,1,3,1,0
1,12,0,3617,0,4,1,4,28,3,2,1,1
0,33,0,4281,2,2,1,4,23,2,2,1,0
3,18,4,4165,0,2,2,2,36,2,2,2,0
0,48,3,7685,0,3,2,4,37,1,2,1,0
0,12,4,1082,0,2,4,4,48,2,2,1,0
0,30,4,4583,0,2,2,2,32,2,2,1,1
2,12,2,1881,0,2,2,2,44,1,1,1,1
3,12,2,1963,0,3,4,2,31,2,3,2,1
2,6,0,1343,0,4,1,4,46,2,2,2,1
2,12,3,609,0,1,4,1,26,1,0,1,0
3,36,1,9572,0,1,1,1,28,2,2,1,0
0,12,0,385,0,3,4,3,58,4,1,1,1
0,8,0,3398,0,3,1,4,39,2,1,1,1
1,10,3,1048,0,2,4,4,23,1,1,1,1
0,27,4,5293,0,0,2,4,50,2,2,1,0
1,20,1,2629,0,2,2,3,29,2,2,1,1
3,21,2,3160,4,4,4,3,41,1,2,1,1
1,11,0,1322,3,2,4,4,40,2,2,1,1
3,24,0,5103,0,1,3,3,47,3,2,1,1
3,24,1,3863,0,2,1,2,32,1,2,1,1
3,30,2,4811,4,3,2,4,24,1,1,1,1
0,12,2,709,0,4,4,4,57,1,1,1,0
1,24,4,4241,0,2,1,4,36,3,1,1,0
3,9,2,1980,0,1,2,2,19,2,2,1,0
3,24,2,2284,0,3,4,2,28,1,2,1,1
1,15,2,2631,1,2,2,4,28,2,2,1,0
3,24,2,929,4,3,4,2,31,1,2,1,1
3,48,0,11590,1,2,2,4,24,2,1,1,0
1,12,2,951,1,1,4,4,27,4,2,1,0
2,12,2,3399,4,4,2,3,37,1,3,1,1
1,13,2,2101,0,1,2,4,23,1,1,1,1
3,18,0,1028,0,2,4,3,36,2,2,1,1
0,24,2,4169,0,2,4,4,28,1,2,1,1
3,15,0,2788,0,3,2,3,24,2,2,1,1
1,39,1,11760,1,3,2,3,32,1,2,1,1
1,13,0,882,0,1,4,4,23,2,2,1,1
0,6,0,1169,4,4,4,4,67,2,2,1,1
1,8,2,907,0,1,3,2,26,1,2,1,1
1,12,2,2762,4,4,1,2,25,1,2,1,0
1,24,1,6967,1,3,4,4,36,1,3,1,1
2,6,1,683,0,1,2,1,29,1,2,1,1
1,9,2,2030,4,3,2,1,24,1,2,1,1
1,12,2,836,1,1,4,2,23,1,1,1,0
3,11,2,2142,3,4,1,2,28,1,2,1,1
3,4,0,1544,0,3,2,1,42,3,1,2,1
3,9,2,1388,0,2,4,2,26,1,2,1,1
3,24,0,5507,0,4,3,4,44,2,2,1,1
3,6,2,3518,0,2,2,3,26,1,2,1,1
0,18,3,1553,0,2,4,3,44,1,2,1,0
3,12,2,2445,4,1,2,4,26,1,2,1,1
3,21,1,2580,2,1,4,2,41,1,1,2,0
2,10,2,1225,0,2,2,2,37,1,2,1,1
3,18,0,3850,0,3,3,1,27,2,2,1,1
0,15,2,1845,0,1,4,1,46,1,2,1,1
3,36,2,8133,0,2,1,2,30,1,2,1,1
3,36,0,6614,0,4,4,4,34,2,3,1,1
2,9,2,745,0,2,3,2,28,1,1,1,0
3,30,2,1867,4,4,4,4,58,1,2,1,1
3,24,2,3972,0,3,2,4,25,1,2,1,1
1,12,4,1410,0,2,2,2,31,1,1,1,1
1,27,4,8318,0,4,2,4,42,2,3,1,0
0,12,2,1893,0,2,4,4,29,1,2,1,1
1,14,2,1410,2,4,1,2,35,1,2,1,1
3,9,0,2134,0,2,4,4,48,3,2,1,1
3,36,0,10477,4,4,2,4,42,2,2,1,1
3,24,2,1413,0,2,4,2,28,1,2,1,1
1,12,2,1103,0,3,4,3,29,2,2,1,1
3,36,2,5742,1,3,2,2,31,2,2,1,1
0,21,3,1647,4,2,4,2,40,2,1,2,0
0,6,3,1198,0,4,4,4,35,1,2,1,0
1,12,0,2366,2,3,3,3,36,1,3,1,1
1,12,0,958,0,3,2,3,47,2,1,2,1
0,15,2,1403,0,2,2,4,28,1,2,1,1
0,24,2,1938,0,1,4,3,32,1,2,1,0
2,15,2,1905,0,4,4,4,40,1,3,1,1
1,12,0,3573,0,2,1,1,23,1,1,1,1
1,12,2,1158,2,2,3,1,26,1,2,1,1
2,12,2,2251,0,2,1,2,46,1,1,1,1
0,18,2,750,0,0,4,1,27,1,0,1,0
3,6,0,700,4,4,4,4,36,2,2,1,1
3,24,2,3757,0,4,4,4,62,1,2,1,1
1,12,2,625,0,1,4,1,26,1,1,1,1
1,11,2,1577,3,1,4,1,20,1,2,1,1
1,24,0,1216,1,1,4,4,38,2,2,2,0
0,45,2,1845,0,2,4,4,23,1,2,1,0
0,6,0,1361,0,1,2,4,40,1,1,2,1
0,48,4,7119,0,2,3,4,53,2,2,2,0
0,12,2,2214,0,2,4,3,24,1,1,1,1
1,18,2,2622,1,2,4,4,34,1,2,1,1
3,36,0,5711,3,4,4,2,38,2,3,1,1
3,12,2,640,0,2,4,2,49,1,1,1,1
0,12,2,1372,0,3,2,3,36,1,2,1,0
2,12,0,939,2,3,4,2,28,3,2,1,0
2,12,3,409,3,2,3,3,42,2,2,1,1
0,18,2,1217,0,2,4,3,47,1,1,1,0
1,12,0,1860,0,0,4,2,34,2,3,1,1
1,6,1,1449,1,4,1,2,31,2,2,2,1
1,9,2,1391,0,2,2,1,27,1,2,1,1
1,12,2,1922,0,2,4,2,37,1,1,1,0
0,24,2,6579,0,0,4,2,29,1,3,1,1
1,30,0,5234,0,0,4,2,28,2,3,1,0
3,12,0,5801,4,4,2,4,49,1,2,1,1
2,15,2,2687,0,3,2,4,26,1,2,1,1
3,24,2,999,4,4,4,2,25,2,2,1,1
0,6,0,4716,4,1,1,3,44,2,1,2,1
2,24,0,1275,3,2,2,4,36,2,2,1,1
0,24,0,1199,0,4,4,4,60,2,1,1,0
0,36,2,8229,0,2,2,2,26,1,2,2,0
0,18,2,1216,0,1,4,3,23,1,2,1,0
3,15,0,3343,0,2,4,2,28,1,2,1,1
3,36,1,4463,0,2,4,2,26,2,3,1,0
3,36,0,7855,0,2,4,2,25,2,2,1,0
3,36,0,11054,4,2,4,2,30,1,3,1,1
3,24,0,1287,3,4,4,4,37,2,2,1,1
3,12,1,1555,3,4,4,4,55,2,2,2,0
0,12,2,1107,0,2,2,2,20,1,3,2,1
0,6,0,338,2,4,4,4,52,2,2,1,1
1,12,2,6468,4,0,2,1,52,1,3,1,0
1,12,2,1007,3,2,4,1,22,1,2,1,1
3,18,0,1098,0,0,4,4,65,2,0,1,1
2,30,0,3656,4,4,4,4,49,2,1,1,1
0,24,2,7721,4,1,1,2,30,1,2,1,1
3,24,0,1597,0,4,4,4,54,2,2,2,1
2,24,0,3148,4,2,3,2,31,2,2,1,1
3,12,0,930,4,4,4,4,65,4,2,1,1
1,24,2,2896,1,1,2,1,29,1,2,1,1
0,36,2,1842,0,1,4,4,34,1,2,1,0
3,39,2,2569,2,2,4,4,24,1,2,1,1
3,24,0,2611,0,4,4,3,46,2,2,1,1
3,48,1,12749,2,3,4,1,37,1,3,1,1
3,12,0,1655,0,4,2,4,63,2,1,1,1
3,9,0,936,2,4,4,2,52,2,2,1,1
1,27,1,5965,0,4,1,2,30,2,3,1,1
3,18,0,6070,0,4,3,4,33,2,2,1,1
3,18,2,1473,0,1,3,4,39,1,2,1,1
2,42,4,6289,0,1,2,1,33,2,2,1,1
1,10,2,1521,0,2,4,2,31,1,1,1,1
3,12,0,1163,2,2,4,4,44,1,2,1,1
0,21,0,571,0,4,4,4,65,2,2,1,1
1,12,2,6078,0,3,2,2,32,1,2,1,1
1,9,2,1206,0,4,4,4,25,1,2,1,1
1,6,2,2063,0,1,4,3,30,1,3,1,1
0,15,2,1275,4,2,4,2,24,1,2,1,0
3,18,0,1169,4,2,4,3,29,2,2,1,1
0,6,2,428,0,4,2,1,49,1,2,1,1
0,27,2,3416,0,2,3,2,27,1,3,1,1
1,48,4,3844,1,3,4,4,34,1,1,2,0
1,12,2,841,1,3,2,4,23,1,1,1,1
3,36,2,3349,0,2,4,2,28,1,3,1,0
1,30,1,2503,1,4,4,2,41,2,2,1,1
1,30,2,3441,1,2,2,4,21,1,2,1,0
0,18,2,7511,4,4,1,4,51,1,2,2,0
1,48,2,3060,0,3,4,4,28,2,2,1,0
1,24,2,12579,0,4,4,2,44,1,3,1,0
3,12,2,2171,0,1,2,2,29,1,2,1,1
0,9,2,1422,0,1,3,2,27,1,3,1,0
1,12,2,1037,1,3,3,4,39,1,1,1,1
1,24,2,3092,1,1,3,2,22,1,2,1,0
1,24,2,1355,0,1,3,4,25,1,1,1,0
1,27,2,2528,0,1,4,1,32,1,2,2,1
3,36,0,3535,0,3,4,4,37,2,2,1,1
1,36,2,2671,1,2,4,4,50,1,2,1,0
1,24,1,1553,1,3,3,2,23,2,2,1,1
0,24,2,1747,0,1,4,1,24,1,1,1,1
1,24,2,11328,0,2,2,3,29,2,3,1,0
0,12,0,1526,0,4,4,4,66,2,3,1,1
1,24,1,6403,0,1,1,2,33,1,2,1,1
3,11,0,1393,0,1,4,4,35,2,3,1,1
1,48,2,3979,4,3,4,1,41,2,2,2,1
1,24,2,2039,0,1,1,1,22,1,2,1,0
3,24,0,4139,1,2,3,3,27,2,1,1,1
0,12,3,339,0,4,4,1,45,1,1,1,1
0,24,2,1442,0,3,4,4,23,2,2,1,0
3,30,0,6742,4,3,2,3,36,2,2,1,1
1,6,0,932,4,3,1,3,39,2,1,1,1
0,24,3,2325,1,3,2,3,32,1,2,1,1
3,18,2,1950,0,3,4,1,34,2,2,1,1
3,18,3,6458,0,4,2,4,39,2,3,2,0
0,24,1,1659,0,1,4,2,29,1,1,1,0
1,6,2,590,0,1,3,3,26,1,1,1,1
3,12,2,4675,4,1,1,4,20,1,2,1,1
0,60,2,7297,0,4,4,4,36,1,2,1,0
1,9,2,458,0,2,4,3,24,1,2,1,1
3,24,1,4679,0,3,3,3,35,2,1,1,1
1,18,2,12976,0,0,3,4,38,1,3,1,0
3,21,0,3275,0,4,1,4,36,1,3,1,1
0,24,2,2964,4,4,4,4,49,1,2,2,1
0,11,0,3939,0,2,1,2,40,2,1,2,1
2,30,0,3017,0,4,4,4,47,1,2,1,1
0,36,2,2712,0,4,2,2,41,1,2,2,0
3,6,1,932,0,2,3,2,24,1,2,1,1
0,12,2,701,0,2,4,2,40,1,1,1,1
0,36,2,9271,0,3,2,1,24,1,2,1,0
3,21,2,2782,2,3,1,2,31,1,3,1,1
1,6,2,1068,0,4,4,4,28,1,2,2,1
1,24,2,2760,4,4,4,4,36,1,2,1,1
3,6,0,362,1,2,4,4,52,2,1,1,1
1,21,0,3652,0,3,2,3,27,2,2,1,1
1,24,2,1246,0,1,4,2,23,1,1,1,0
3,12,2,3059,3,3,2,4,61,1,1,1,1
3,24,2,3181,0,1,4,4,26,1,2,1,1
3,24,1,2978,4,2,4,4,32,2,2,2,1
3,9,2,2697,0,2,1,2,32,1,2,2,1
3,24,0,2872,1,4,3,4,36,1,2,2,1
3,15,1,1478,0,2,4,3,33,2,2,1,1
3,15,0,5045,4,4,1,4,59,1,2,1,1
3,24,0,2424,4,4,4,4,53,2,2,1,1
0,24,3,1193,0,0,1,4,29,2,0,1,0
2,30,1,1908,0,4,4,4,66,1,3,1,0
3,12,0,3331,0,4,2,4,42,1,2,1,1
1,6,2,14555,4,0,1,2,23,1,0,1,0
3,42,0,4042,2,2,4,4,36,2,2,1,1
0,18,4,3114,0,1,1,4,26,1,2,1,0
1,36,2,3711,4,2,2,2,27,1,2,1,1
1,18,2,1924,4,1,4,3,27,1,2,1,0
3,24,0,2346,0,3,4,3,35,2,2,1,1
2,12,2,3016,0,2,3,1,24,1,2,1,1
0,10,0,2241,0,1,1,3,48,2,1,2,1
1,30,1,1919,1,1,4,3,30,2,3,1,0
3,7,1,846,4,4,3,4,36,1,2,1,1
3,12,0,2096,0,3,2,3,49,1,1,2,1
3,15,0,1360,0,2,4,2,31,2,2,1,1
3,24,2,2397,2,4,3,2,35,2,2,1,0
0,36,2,3249,0,3,2,4,39,1,3,2,1
0,18,2,2462,0,2,2,2,22,1,2,1,0
3,48,2,10222,4,3,4,3,37,1,2,1,1
1,36,3,3990,4,1,3,2,29,1,0,1,1
3,28,0,2743,0,4,4,2,29,2,2,1,1
1,9,2,1082,0,4,4,4,27,2,1,1,1
3,24,0,1940,3,4,4,4,60,1,2,1,1
3,9,2,3832,4,4,1,4,64,1,1,1,1
1,9,2,959,0,2,1,2,29,1,2,1,0
0,24,3,2483,2,2,4,4,22,1,2,1,1
3,9,2,2301,1,1,2,4,22,1,2,1,1
1,9,2,1670,0,1,4,2,22,1,2,1,0
3,15,1,3594,0,1,1,2,46,2,1,1,1
3,6,2,1766,0,2,1,2,21,1,2,1,1
3,24,2,3621,1,4,2,4,31,2,2,1,0
3,48,3,3609,0,2,1,1,27,1,2,1,1
1,18,1,2427,4,4,4,2,42,2,2,1,1
1,18,2,4439,0,4,1,1,33,1,3,1,1
3,15,0,1316,2,2,2,2,47,2,1,1,1
0,12,2,900,4,2,4,2,23,1,2,1,0
3,24,0,2578,3,4,2,2,34,1,2,1,1
3,36,2,7409,4,4,3,2,37,2,2,1,1
3,20,0,3485,4,1,2,4,44,2,2,1,1
0,12,2,1282,0,2,2,4,20,1,2,1,0
1,9,3,1437,1,3,2,3,29,1,2,1,0
3,24,2,7814,0,3,3,3,38,1,3,1,1
3,36,1,4454,0,2,4,4,34,2,2,1,1
0,24,2,1207,0,1,4,4,24,1,2,1,0
0,18,0,2124,0,2,4,4,24,2,2,1,0
1,9,2,2118,0,2,2,2,37,1,1,2,1
2,10,2,3949,0,1,1,1,37,1,1,2,1
3,24,2,1376,2,3,4,1,28,1,2,1,1
3,9,0,2406,0,0,2,3,31,1,3,1,1
3,48,2,3914,4,2,4,2,38,1,2,1,0
1,24,0,2825,4,3,4,3,34,2,2,2,1
1,18,2,3872,0,0,2,4,67,1,2,1,1
3,10,2,2848,1,2,1,2,32,1,2,2,1
3,12,0,2748,0,4,2,4,57,3,1,1,1
1,12,2,766,2,2,4,3,66,1,1,1,0
3,24,2,3105,4,1,4,2,25,2,2,1,1
1,24,1,1965,4,2,4,4,42,2,2,1,1
2,36,2,4210,0,2,4,2,26,1,2,1,0
3,18,2,1533,0,1,4,1,43,1,1,2,0
3,30,0,5771,0,3,4,2,25,2,2,1,1
0,6,0,1957,0,3,1,4,31,1,2,1,1
1,36,1,9857,1,3,1,3,31,2,1,2,1
0,47,2,10722,0,1,1,1,35,1,1,1,1
3,6,2,4611,0,1,1,4,32,1,2,1,0
1,24,2,5084,4,4,2,4,42,1,2,1,1
3,9,2,2507,2,4,2,4,51,1,1,1,1
0,24,2,1755,0,4,4,4,58,1,1,1,1
1,20,2,6468,4,0,1,4,60,1,3,1,1
1,36,2,2323,0,3,4,4,24,1,2,1,1
1,12,2,2028,4,2,4,2,30,1,2,1,1
0,36,1,6887,0,2,4,3,29,1,2,1,0
0,21,2,3763,4,3,2,2,24,1,1,1,1
3,18,2,1568,1,2,3,4,24,1,1,1,1
1,36,1,8086,1,4,2,4,42,4,3,1,0
3,24,2,1474,1,1,4,3,33,1,2,1,1
3,6,2,2108,0,3,2,2,29,1,2,1,1
3,5,2,3448,0,3,1,4,74,1,1,1,1
0,21,2,1835,0,2,3,2,25,2,2,1,0
3,48,0,2751,4,4,4,3,38,2,2,2,1
0,48,4,4605,0,4,3,4,24,2,2,2,0
1,18,2,1113,0,2,4,4,26,1,1,2,1
0,48,0,6331,0,4,4,4,46,2,2,1,0
1,30,0,8386,0,3,2,2,49,1,2,1,0
3,18,2,1453,0,1,3,1,26,1,2,1,1
3,12,0,797,4,4,4,3,33,1,1,2,0
0,10,0,1038,0,3,4,3,49,2,2,1,1
3,6,2,1543,3,2,4,2,33,1,2,1,1
1,48,2,5381,4,0,3,4,40,1,0,1,1
3,6,4,1204,1,2,4,1,35,1,2,1,1
0,21,0,1602,0,4,4,3,30,2,2,1,1
3,14,1,802,0,2,4,2,27,2,1,1,1
0,18,2,2473,0,0,4,1,25,1,0,1,0
1,12,2,1223,0,4,1,1,46,2,2,1,0
3,12,2,776,0,2,4,2,28,1,2,1,1
3,24,2,3062,2,4,4,3,32,1,2,1,1
3,36,4,2613,0,2,4,2,27,2,2,1,1
0,36,0,6229,0,1,4,4,23,2,1,1,0
2,15,2,392,0,1,4,4,23,1,2,1,1
0,24,4,4110,0,4,3,4,23,2,2,2,0
2,15,0,1271,4,2,3,4,39,2,2,1,0
0,24,2,4020,0,2,2,2,27,1,2,1,1
1,60,2,7408,1,1,4,2,24,1,3,1,0
3,21,2,2241,0,4,4,2,50,2,2,1,1
3,15,3,1569,1,4,4,4,34,1,1,2,1
3,12,0,2292,0,0,4,2,42,2,3,1,0
2,36,2,5848,0,2,4,1,24,1,2,1,1
3,27,1,8613,3,2,2,2,27,2,2,1,1
0,24,0,6419,0,4,2,4,44,2,3,2,1
3,15,2,1979,4,4,4,2,35,1,2,1,1
